Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Jingle Bells;YASA_t2_m1;13;BusyBox_2008-06-01_10-10-22;543;1673;1;1;86400000;true;true;3074;46;2;1;572865;1;0;0.54807;0.54807;0.61449;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;14;BusyBox_2008-07-01_01-57-36;550;1694;1;1;86400000;true;true;3354;40;2;1;585777;1;0;0.44881;0.44881;0.61108;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;15;BusyBox_2008-08-01_02-15-05;557;1727;1;1;86400000;true;true;3205;46;2;1;600941;1;0;0.51432;0.51432;0.60762;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;16;BusyBox_2008-09-01_15-23-04;546;1694;1;1;86400000;true;true;3049;48;2;1;577080;1;0;0.5721;0.5721;0.61564;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;17;BusyBox_2008-10-02_13-30-31;556;1689;1;1;86400000;true;true;3217;43;2;1;594455;1;0;0.47781;0.47781;0.61292;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;18;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;3534;42;2;1;605407;1;0;0.56028;0.56028;0.61162;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;19;BusyBox_2008-12-01_12-36-41;572;1742;1;1;86400000;true;true;3226;42;2;1;629860;1;0;0.59252;0.59252;0.61027;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;20;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;3234;42;2;1;629860;1;1;1;1;1;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;21;BusyBox_2009-02-01_00-40-45;575;1764;1;1;86400000;true;true;3220;41;2;1;638857;1;0;0.56497;0.56497;0.60627;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;22;BusyBox_2009-03-01_04-50-18;574;1764;1;1;86400000;true;true;3412;40;2;1;636594;1;0;0.55837;0.55837;0.60914;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;23;BusyBox_2009-04-01_11-24-04;575;1766;1;1;86400000;true;true;3354;40;2;1;638856;1;0;0.58635;0.58635;0.60355;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;24;BusyBox_2009-05-01_03-00-04;580;1781;1;1;86400000;true;true;3377;40;2;1;650213;1;0;0.59085;0.59085;0.60911;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;25;BusyBox_2009-06-01_11-26-30;583;1796;1;1;86400000;true;true;3173;43;2;1;657060;1;0;0.54853;0.54853;0.60565;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;26;BusyBox_2009-07-02_12-04-50;585;1808;1;1;86400000;true;true;3518;41;2;1;661641;1;0;0.53227;0.53227;0.60471;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;27;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;3261;45;2;1;682494;1;0;0.54744;0.54744;0.61792;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;28;BusyBox_2009-09-02_11-49-25;596;1842;1;1;86400000;true;true;3283;44;2;1;687175;1;0;0.56944;0.56944;0.62959;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;29;BusyBox_2009-10-02_01-10-32;599;1851;1;1;86400000;true;true;3684;41;2;1;694227;1;0;0.51472;0.51472;0.6107;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;30;BusyBox_2009-11-01_04-01-30;602;1862;1;1;86400000;true;true;3429;40;2;1;701315;1;0;0.56977;0.56977;0.61452;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;31;BusyBox_2009-12-01_02-32-01;608;1884;1;1;86400000;true;true;3316;42;2;1;715584;1;0;0.56845;0.56845;0.61431;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;32;BusyBox_2010-01-01_16-45-43;608;1884;1;1;86400000;true;true;3468;41;2;1;715584;1;0;0.55578;0.55578;0.60345;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;33;BusyBox_2010-02-01_04-55-30;619;1918;1;1;86400000;true;true;3424;39;2;1;742142;1;0;0.53332;0.53332;0.60524;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;34;BusyBox_2010-03-02_15-02-45;622;1926;1;1;86400000;true;true;3469;42;2;1;749474;1;0;0.55271;0.55271;0.61065;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;35;BusyBox_2010-04-01_15-09-44;628;1948;1;1;86400000;true;true;3523;42;2;1;764224;1;0;0.58437;0.58437;0.60239;-1;-1;-1;-1;-1
Jingle Bells;YASA_t2_m1;36;BusyBox_2010-05-02_14-17-07;631;1944;1;1;86400000;true;true;3707;42;2;1;771658;1;0;0.58758;0.58758;0.60467;-1;-1;-1;-1;-1
